config,iteration,loss_tr_sgd,loss_tr_sgd_std,loss_val_batch,loss_val_batch_std,loss_val,loss_val_std,zero_one_loss_val,zero_one_loss_val_std,loss_te,loss_te_std,zero_one_loss_te,zero_one_loss_te_std,gap,gap_std,zero_one_gap,zero_one_gap_std
SSGD_lrl0.001_lrh0.5,0,1.171244502067566,0.0005005596317525039,2.2842870553334556,0.03373874973136057,2.3039775689442954,0.014770860454139155,0.8983333309491476,0.0075865239149229425,2.3061611652374268,0.0160876046413666,0.8983333508173624,0.0057927154670852745,0.0021835962931315103,0.0028733389751154745,1.9868214925130207e-08,0.012355824188334237
SSGD_lrl0.001_lrh0.5,50,1.1457569599151611,0.026044311964514802,2.2709208329518638,0.009201321012395325,2.298973560333252,0.014847913484985611,0.8901666800181071,0.012664480660690038,2.3006622791290283,0.01583804239817791,0.890666683514913,0.008956671881572273,0.0016887187957763672,0.0026415200034237084,0.0005000034968058268,0.014041598813205616
SSGD_lrl0.001_lrh0.5,100,1.169191837310791,0.01379611420187917,2.327403465906779,0.04192609867403138,2.293482780456543,0.014907689554017507,0.8806666731834412,0.016977119965254625,2.294832150141398,0.01609853654553653,0.8776666720708212,0.015151092102594799,0.0013493696848551433,0.0027167635899005556,-0.0030000011126200357,0.012192921259292801
SSGD_lrl0.001_lrh0.5,150,1.1300767660140991,0.009040132271444111,2.288708766301473,0.04653197172260388,2.2886293729146323,0.014593307507083927,0.8711666663487753,0.016814327367588314,2.2893420855204263,0.015886425938539454,0.8660000165303549,0.01902630221020545,0.0007127126057942709,0.0024352088945688304,-0.00516664981842041,0.012290452220461183
SSGD_lrl0.001_lrh0.5,200,1.1406114498774211,0.0020082310832909667,2.308546463648478,0.016780202874437922,2.283294121424357,0.014385461215631237,0.8491666714350382,0.02104097488701841,2.283628543217977,0.01574065393304979,0.8519999980926514,0.024535676068516307,0.0003344217936197917,0.0025095812441078527,0.0028333266576131186,0.007306739900559976
SSGD_lrl0.001_lrh0.5,250,1.1374692916870117,0.013480525630421444,2.258039633433024,0.01945389355275301,2.2784270445505777,0.014520756291916341,0.834333340326945,0.030480423173714914,2.2784605820973716,0.016035123743505013,0.8360000054041544,0.03159113629727281,3.353754679361979e-05,0.0024123723610349882,0.0016666650772094727,0.0057783143388581235
SSGD_lrl0.001_lrh0.5,300,1.139037291208903,0.005813640312675427,2.2433224519093833,0.022308864086190896,2.2737820943196616,0.014409766333757153,0.8255000114440918,0.03511648299968039,2.273407061894735,0.01592718910462015,0.8256666660308838,0.03602159433203133,-0.0003750324249267578,0.0022543230225723324,0.0001666545867919922,0.008966011122486689
SSGD_lrl0.001_lrh0.5,350,1.1551112333933513,0.017617887948865735,2.3095246156056723,0.024950178110765133,2.2687032222747803,0.014643678702164252,0.809166669845581,0.036790688090923715,2.268103837966919,0.016095389776628794,0.809333344300588,0.041451436765973515,-0.0005993843078613281,0.0021430738376019254,0.00016667445500691733,0.00953356595278248
SSGD_lrl0.001_lrh0.5,400,1.1389662027359009,0.02189200880723282,2.2663497924804688,0.019009818400282753,2.2643775145212808,0.01453292750802991,0.799833337465922,0.03577787914362552,2.26326592763265,0.016011647525984135,0.7983333468437195,0.04590086284086305,-0.0011115868886311848,0.0020812434404904492,-0.0014999906222025554,0.010962047851483699
SSGD_lrl0.001_lrh0.5,450,1.1349601745605469,0.014569466140874655,2.263451019922892,0.02865047393737304,2.25893505414327,0.014460640026020223,0.7883333563804626,0.04286088395746998,2.2574161688486734,0.01614409652270967,0.7873333295186361,0.05202776957426595,-0.0015188852945963542,0.002151854431502435,-0.0010000268618265788,0.010303722368208314
SSGD_lrl0.001_lrh0.5,500,1.1372244755427043,0.018321787530879596,2.246595621109009,0.034437839816031324,2.254055658976237,0.014317930997599733,0.7756666739781698,0.04320751741694154,2.252208630243937,0.015973803729915838,0.7696666717529297,0.051693540142039154,-0.0018470287322998047,0.0021781290448671673,-0.006000002225240071,0.008640977517751565
