config,iteration,loss_tr_sgd,loss_tr_sgd_std,loss_val_batch,loss_val_batch_std,loss_val,loss_val_std,zero_one_loss_val,zero_one_loss_val_std,loss_te,loss_te_std,zero_one_loss_te,zero_one_loss_te_std,gap,gap_std,zero_one_gap,zero_one_gap_std
TSGD_T1_K5000,0,1.1645372311274211,0.0023522188729211565,2.2874730428059897,0.04128843403386262,2.301058371861776,0.010712369161041829,0.9103333552678426,0.017461066020783785,2.299016078313192,0.008813734190019745,0.8976666728655497,0.009285601017402176,-0.0020422935485839844,0.003958213479129059,-0.012666682402292887,0.008219209542955115
TSGD_T1_K5000,50,1.1465177138646443,0.002515280636944973,2.236573060353597,0.022833404557485174,2.251729965209961,0.007597249472799477,0.7955000201861063,0.042255180722182414,2.253406842549642,0.00501857952334085,0.7930000027020773,0.036064741791104304,0.0016768773396809895,0.0040977023516441035,-0.0025000174840291343,0.020424663821248735
TSGD_T1_K5000,100,1.123764991760254,0.01589632358723922,2.243924061457316,0.024793644888536363,2.199548880259196,0.007730410992468428,0.6389999985694885,0.03902778901311374,2.2015008131663003,0.006313256699434764,0.637666662534078,0.030025899817385994,0.0019519329071044922,0.001465355422390737,-0.0013333360354105632,0.012425352730200661
TSGD_T1_K5000,150,1.123106837272644,0.018460807603293262,2.1183694203694663,0.03943433283465501,2.1524300575256348,0.010055719832242786,0.5491666595141093,0.024689164437425734,2.157627900441488,0.008473836973600638,0.5516666571299235,0.01936206926481365,0.005197842915852864,0.001825753690547463,0.002499997615814209,0.0056568235666390005
TSGD_T1_K5000,200,1.101706822713216,0.025929026735688514,2.057316025098165,0.04669254550052957,2.109300216039022,0.009047506114773207,0.47299999992052716,0.024903157192536423,2.1128169695536294,0.008740032142495838,0.47433332602183026,0.02595294597272384,0.0035167535146077475,0.0004162959683615416,0.0013333261013031006,0.004129832570993026
TSGD_T1_K5000,250,1.120113690694173,0.01912565732907588,2.0377410650253296,0.06686258940314369,2.064366579055786,0.007975570427811142,0.47083333134651184,0.015542064417915596,2.0696635246276855,0.009415589085498716,0.4796666701634725,0.032704058769152784,0.005296945571899414,0.001440646981815589,0.008833338816960653,0.017326914960700483
TSGD_T1_K5000,300,1.0813649892807007,0.011153764011672073,1.9838311672210693,0.08488296487951168,2.0272536277770996,0.00992038783387775,0.4518333375453949,0.04206014814063663,2.035397211710612,0.011454814768752965,0.46833333373069763,0.0554637055841352,0.00814358393351237,0.0017517673459956798,0.016499996185302734,0.013459813202953115
TSGD_T1_K5000,350,1.0425665577252705,0.055645213473991074,1.9899003903071086,0.07846424591355686,1.9834408362706502,0.010212202970446456,0.4253333310286204,0.014504781063599165,1.9887818892796834,0.011308058372030111,0.4269999961058299,0.01818424196545898,0.005341053009033203,0.0023308815732550003,0.0016666650772094727,0.01910642112372863
TSGD_T1_K5000,400,1.0705203612645466,0.04032344731192713,1.8829023440678914,0.024907189017003412,1.9442508220672607,0.008487568369927243,0.38166667024294537,0.018295411912621167,1.950972318649292,0.00979096964479353,0.3776666621367137,0.01108553123909907,0.00672149658203125,0.002092196161218311,-0.0040000081062316895,0.01575331149786617
TSGD_T1_K5000,450,1.0329238971074421,0.08075346498472538,1.9887036482493083,0.11422444448309765,1.8993361393610637,0.009900390625748462,0.37283334136009216,0.021441137760225534,1.9072640339533489,0.009940253562821725,0.3703333338101705,0.014337207808359743,0.007927894592285156,0.0015189110371893304,-0.0025000075499216714,0.007359807200882063
